Order Number,Order Date,Item Name,Quantity,Product Price,Total products
9602,2018-05-20 18:45:00,Onion Chutney,1,0.5,9
9602,2018-05-20 18:45:00,Red Sauce,1,0.5,9
9602,2018-05-20 18:45:00,Mango Chutney,1,0.5,9
9598,2018-05-20 18:07:00,Mint Sauce,1,0.5,7
9596,2018-05-20 17:35:00,Mango Chutney,1,0.5,7
9592,2018-05-19 20:46:00,Mango Chutney,1,0.5,6
9589,2018-05-19 19:35:00,Mint Sauce,1,0.5,4
9588,2018-05-19 19:22:00,Onion Chutney,1,0.5,7
9582,2018-05-19 17:39:00,Mint Sauce,2,0.5,6
9577,2018-05-18 19:44:00,Mango Chutney,1,0.5,8
9577,2018-05-18 19:44:00,Mint Sauce,1,0.5,8
9571,2018-05-17 22:15:00,Mango Chutney,1,0.5,6
9569,2018-05-17 20:31:00,Mango Chutney,1,0.5,4
9568,2018-05-17 20:20:00,Mango Chutney,1,0.5,5
9565,2018-05-17 19:05:00,Mint Sauce,1,0.5,5
9554,2018-05-16 17:51:00,Mango Chutney,1,0.5,9
9553,2018-05-16 17:37:00,Mango Chutney,1,0.5,9
9545,2018-05-14 19:08:00,Mint Sauce,1,0.5,6
9545,2018-05-14 19:08:00,Mango Chutney,1,0.5,6
9598,2018-05-20 18:07:00,Plain Papadum,4,0.8,7
9596,2018-05-20 17:35:00,Plain Papadum,2,0.8,7
9592,2018-05-19 20:46:00,Plain Papadum,8,0.8,6
9588,2018-05-19 19:22:00,Plain Papadum,4,0.8,7
9577,2018-05-18 19:44:00,Plain Papadum,2,0.8,8
9574,2018-05-18 19:11:00,Plain Papadum,2,0.8,6
9571,2018-05-17 22:15:00,Plain Papadum,2,0.8,6
9554,2018-05-16 17:51:00,Plain Papadum,2,0.8,9
9553,2018-05-16 17:37:00,Plain Papadum,2,0.8,9
9606,2018-05-20 20:09:00,Puree,1,1.95,3
9579,2018-05-18 22:07:00,Chapati,1,1.95,4
9574,2018-05-18 19:11:00,Chapati,1,1.95,6
9570,2018-05-17 21:04:00,Chapati,2,1.95,4
9567,2018-05-17 19:57:00,Chapati,1,1.95,4
9565,2018-05-17 19:05:00,Chapati,2,1.95,5
9603,2018-05-20 18:54:00,Tandoori Roti,1,2.6,4
9602,2018-05-20 18:45:00,Plain Naan,1,2.6,9
9601,2018-05-20 18:38:00,Plain Naan,1,2.6,4
9600,2018-05-20 18:36:00,Plain Naan,2,2.6,3
9598,2018-05-20 18:07:00,Plain Naan,1,2.6,7
9596,2018-05-20 17:35:00,Plain Naan,1,2.6,7
9591,2018-05-19 20:25:00,Plain Naan,1,2.6,8
9582,2018-05-19 17:39:00,Plain Naan,3,2.6,6
9578,2018-05-18 21:13:00,Plain Naan,2,2.6,3
9577,2018-05-18 19:44:00,Plain Naan,1,2.6,8
9576,2018-05-18 19:20:00,Plain Naan,1,2.6,5
9575,2018-05-18 19:19:00,Plain Naan,2,2.6,6
9567,2018-05-17 19:57:00,Plain Naan,1,2.6,4
9566,2018-05-17 19:56:00,Plain Naan,1,2.6,7
9564,2018-05-17 18:29:00,Tandoori Roti,1,2.6,5
9562,2018-05-17 17:07:00,Tandoori Roti,1,2.6,4
9558,2018-05-16 19:08:00,Plain Naan,2,2.6,4
9555,2018-05-16 17:56:00,Plain Naan,1,2.6,4
9554,2018-05-16 17:51:00,Plain Naan,1,2.6,9
9553,2018-05-16 17:37:00,Plain Naan,2,2.6,9
9551,2018-05-15 20:35:00,Plain Naan,1,2.6,3
9606,2018-05-20 20:09:00,Peshwari Naan,2,2.95,3
9603,2018-05-20 18:54:00,Plain Rice,1,2.95,4
9602,2018-05-20 18:45:00,Pilau Rice,1,2.95,9
9601,2018-05-20 18:38:00,Pilau Rice,1,2.95,4
9600,2018-05-20 18:36:00,Pilau Rice,3,2.95,3
9599,2018-05-20 18:21:00,Garlic Naan,1,2.95,4
9598,2018-05-20 18:07:00,Pilau Rice,1,2.95,7
9596,2018-05-20 17:35:00,Pilau Rice,2,2.95,7
9596,2018-05-20 17:35:00,Kulcha Naan,1,2.95,7
9595,2018-05-20 17:03:00,Pilau Rice,1,2.95,3
9592,2018-05-19 20:46:00,Pilau Rice,1,2.95,6
9591,2018-05-19 20:25:00,Peshwari Naan,1,2.95,8
9590,2018-05-19 19:51:00,Plain Rice,1,2.95,4
9590,2018-05-19 19:51:00,Peshwari Naan,1,2.95,4
9589,2018-05-19 19:35:00,Pilau Rice,1,2.95,4
9589,2018-05-19 19:35:00,Garlic Naan,1,2.95,4
9588,2018-05-19 19:22:00,Garlic Naan,1,2.95,7
9588,2018-05-19 19:22:00,Plain Rice,3,2.95,7
9585,2018-05-19 18:59:00,Pilau Rice,1,2.95,3
9583,2018-05-19 18:10:00,Pilau Rice,1,2.95,3
9582,2018-05-19 17:39:00,Pilau Rice,1,2.95,6
9582,2018-05-19 17:39:00,Bottle Diet Coke,1,2.95,6
9575,2018-05-18 19:19:00,Pilau Rice,1,2.95,6
9574,2018-05-18 19:11:00,Pilau Rice,1,2.95,6
9573,2018-05-18 19:10:00,Pilau Rice,2,2.95,4
9573,2018-05-18 19:10:00,Garlic Naan,1,2.95,4
9572,2018-05-18 19:03:00,Garlic Naan,1,2.95,7
9572,2018-05-18 19:03:00,Peshwari Naan,1,2.95,7
9571,2018-05-17 22:15:00,Pilau Rice,2,2.95,6
9571,2018-05-17 22:15:00,Peshwari Naan,1,2.95,6
9568,2018-05-17 20:20:00,Peshwari Naan,1,2.95,5
9566,2018-05-17 19:56:00,Plain Rice,1,2.95,7
9565,2018-05-17 19:05:00,Plain Rice,1,2.95,5
9564,2018-05-17 18:29:00,Garlic Naan,1,2.95,5
9563,2018-05-17 17:47:00,Bottle Diet Coke,1,2.95,3
9562,2018-05-17 17:07:00,Pilau Rice,1,2.95,4
